T,P_helical_mean,P_helical_std,count,P_helical_stderr
0.5,1.0,0.0,250,0.0
0.55,1.0,0.0,250,0.0
0.6,1.0,0.0,250,0.0
0.65,1.0,0.0,250,0.0
0.7,1.0,0.0,250,0.0
0.75,1.0,0.0,250,0.0
0.8,1.0,0.0,250,0.0
0.85,1.0,0.0,250,0.0
0.9,1.0,0.0,250,0.0
0.95,1.0,0.0,250,0.0
1.05,0.9770167,0.090495124,250,0.005723414208633921
1.1,0.7605729,0.32730627,250,0.020700666150987982
1.15,0.21963513,0.32408196,250,0.020496742675213685
1.2,0.011907344,0.044051338,250,0.0027860512403480066
1.25,0.00024482407,0.00069820427,250,4.4158315222971145e-05
1.3,1.49551e-05,7.150138e-05,250,4.522144406990145e-06
1.35,1.1459354e-06,3.9994075e-06,250,2.5294473692040137e-07
1.4,9.463412e-08,1.6029927e-07,250,1.013821571939491e-08
1.45,1.3556958e-08,2.2550642e-08,250,1.4262278437140927e-09
1.5,3.996106e-09,5.172971e-09,250,3.271674088363869e-10
1.8,1.5483554e-11,1.1208136e-11,250,7.088647605488822e-13
1.85,8.142637e-12,9.839748e-12,250,6.223203018504568e-13
1.9,4.673156e-12,3.6459503e-12,250,2.3059014336840757e-13
1.95,2.9548863e-12,1.9483152e-12,250,1.232222730865785e-13
2.0,2.1557916e-12,1.5887989e-12,250,1.0048446298379077e-13
2.05,1.5534316e-12,9.297219e-13,250,5.880077606556316e-14
2.1,1.1378065e-12,7.1822626e-13,250,4.5424617120928444e-14
2.15,8.891638e-13,5.1921705e-13,250,3.283816942253508e-14
2.2,6.717725e-13,4.0807028e-13,250,2.5808630538463848e-14
2.25,4.7989206e-13,2.6354998e-13,250,1.666836417318141e-14
