epoch,train_loss,train_acc,val_loss,val_acc
1,0.061489579310234625,0.9680851063829787,2.490466158633353e-06,1.0
2,1.128529350098156e-05,1.0,1.1837877309517353e-06,1.0
3,4.809344874837144e-06,1.0,6.481280365733255e-07,1.0
4,3.5976308333164176e-06,1.0,3.640462580278836e-07,1.0
5,2.2688545308360745e-06,1.0,2.1571287334154476e-07,1.0
6,1.7387439970654386e-06,1.0,1.2507291557994904e-07,1.0
7,3.206209053284812e-06,1.0,1.2882020428151009e-07,1.0
8,1.0394537773798952e-06,1.0,3.484581512225304e-08,1.0
9,9.047405486251363e-07,1.0,4.0137976498044736e-08,1.0
10,4.737164862753993e-07,1.0,2.0954045609755667e-08,1.0
11,3.661878027654898e-07,1.0,1.3639096962947406e-08,1.0
12,3.690323426541727e-06,1.0,2.655918596161655e-09,1.0
13,1.7892023551831137e-07,1.0,3.4561864481474913e-09,1.0
14,1.8301019496109336e-07,1.0,4.862742652989027e-09,1.0
15,1.4139935517431933e-07,1.0,4.793403007852248e-09,1.0
16,7.48989086547379e-08,1.0,3.9538416984896685e-09,1.0
17,1.2970147900808132e-07,1.0,4.1768140057740766e-09,1.0
18,5.689167173986941e-08,1.0,3.753819033391892e-09,1.0
19,1.4161105969775497e-07,1.0,1.4057450758997447e-09,1.0
20,7.565659054353907e-08,1.0,1.3210680327446767e-09,1.0
21,4.038906660491441e-08,1.0,1.1759708762326682e-09,1.0
22,6.795127626291584e-08,1.0,1.1388321397021173e-09,1.0
23,3.717878275518958e-08,1.0,1.0327220190120556e-09,1.0
24,3.539609700643568e-08,1.0,7.186292116934112e-10,1.0
25,4.0082279232332906e-08,1.0,7.09397929288258e-10,1.0
26,3.40286190950866e-08,1.0,6.28549545744761e-10,1.0
27,4.2879249300605e-08,1.0,3.8623290676831346e-10,1.0
28,1.0375659908784734e-06,1.0,2.8778091021308683e-10,1.0
29,1.0364024021588701e-08,1.0,2.1836646380002378e-10,1.0
30,1.3489014178935373e-08,1.0,1.17790194265055e-10,1.0
31,7.526337279613997e-09,1.0,1.148752273860687e-10,1.0
32,5.8802818107570625e-08,1.0,2.6864280244787153e-10,1.0
33,7.909349553045887e-09,1.0,9.37271371626025e-11,1.0
34,5.3057278586492434e-09,1.0,6.318649770076235e-11,1.0
35,1.4081748575521838e-09,1.0,5.697051164155198e-11,1.0
36,6.672214480529516e-09,1.0,5.5446345431642285e-11,1.0
37,1.7244082451196637e-09,1.0,4.2312355008622404e-11,1.0
38,4.3704069247220705e-09,1.0,3.2523900239667114e-11,1.0
39,6.5367722658377015e-09,1.0,4.9990813572042825e-11,1.0
40,2.9711339984994583e-09,1.0,2.8392583423242357e-11,1.0
