T,P_helical_mean,P_helical_std,count,P_helical_stderr
0.5,0.9999999,5.5051476e-07,250,3.481761026198114e-08
0.55,0.9999998,6.738897e-07,250,4.26205269614963e-08
0.6,0.9999986,4.0896884e-06,250,2.586546081760888e-07
0.65,0.9999989,6.413591e-06,250,4.056311177004911e-07
0.7,0.9999583,0.00013761877,250,8.70377536548819e-06
0.75,0.99994147,0.00027505972,250,1.7396304128166608e-05
0.8,0.99997884,0.00013132395,250,8.305655749805482e-06
0.85,0.99988246,0.00040384353,250,2.554130740279489e-05
0.9,0.99983585,0.00077242084,250,4.8852183382429826e-05
0.95,0.99676216,0.011310864,250,0.0007153618660626307
1.05,0.38109127,0.40813735,250,0.025812872564312306
1.1,0.15060401,0.27957058,250,0.017681595961685573
1.15,0.032813795,0.119017236,250,0.0075273109274279935
1.2,0.0071333083,0.037858542,250,0.002394384435734575
1.25,0.008148912,0.048803642,250,0.0030866133614313868
1.3,0.0014432174,0.010530197,250,0.0006659881385012604
1.35,0.0018300952,0.018657275,250,0.0011799896498175062
1.4,0.0031939212,0.029880276,250,0.0018897945823166437
1.45,0.0036351706,0.05165646,250,0.003267041296057427
1.5,0.0012133786,0.01333677,250,0.000843491411553154
1.8,0.00017798999,0.001484724,250,9.390219038699656e-05
1.85,0.00016707082,0.0010464122,250,6.618091585934493e-05
1.9,0.00021430082,0.0013820854,250,8.741075432371623e-05
1.95,0.00022111593,0.0017941389,250,0.00011347130872700537
2.0,0.00019652437,0.0011961347,250,7.56502020131042e-05
2.05,0.00012600167,0.0006696373,250,4.2351580693618795e-05
2.1,0.00021445043,0.001264047,250,7.994535141298253e-05
2.15,0.00018311567,0.0010820391,250,6.843416076781165e-05
2.2,0.000136399,0.0005710149,250,3.6114152191932146e-05
2.25,0.00010085579,0.0004213029,250,2.6645534207865162e-05
