filename,L,T,J,D,Bx,By,Bz,seed,sample,saved_index,label,E_density,m_abs_density,helical_order,q_peak,axis_peak,n_peak
config_L8_T1p300_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,1.3,1,1,0,0,0,1,0,0,-1,-1.9144050333717055,0.031433598198926799,0.2089784699561279,5.497787143782138,2,7
config_L8_T1p300_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,1.3,1,1,0,0,0,1,4,1,-1,-1.8812307072741534,0.048753354092706778,0.19903548844202934,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,1.3,1,1,0,0,0,1,8,2,-1,-1.8695811193641703,0.079732903837113261,0.19034872889398552,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,1.3,1,1,0,0,0,1,12,3,-1,-1.9300975100015618,0.061249575506717231,0.20178742941126684,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,1.3,1,1,0,0,0,1,16,4,-1,-1.8974450652951225,0.1024311561778319,0.17821748813445676,5.497787143782138,2,7
config_L8_T1p300_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,1.3,1,1,0,0,0,1,20,5,-1,-1.8263866534231541,0.072759663967466554,0.17501153888214016,5.497787143782138,2,7
config_L8_T1p300_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,1.3,1,1,0,0,0,1,24,6,-1,-1.8935962381092073,0.069123567883227169,0.1874057719746933,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,1.3,1,1,0,0,0,1,28,7,-1,-1.8125613268833811,0.048430397917153471,0.16248423359467046,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,1.3,1,1,0,0,0,1,0,0,-1,-1.9144050333717055,0.031433598198926799,0.2089784699561279,5.497787143782138,2,7
config_L8_T1p300_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,1.3,1,1,0,0,0,1,4,1,-1,-1.8812307072741534,0.048753354092706778,0.19903548844202934,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,1.3,1,1,0,0,0,1,8,2,-1,-1.8695811193641703,0.079732903837113261,0.19034872889398552,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,1.3,1,1,0,0,0,1,12,3,-1,-1.9300975100015618,0.061249575506717231,0.20178742941126684,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,1.3,1,1,0,0,0,1,16,4,-1,-1.8974450652951225,0.1024311561778319,0.17821748813445676,5.497787143782138,2,7
config_L8_T1p300_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,1.3,1,1,0,0,0,1,20,5,-1,-1.8263866534231541,0.072759663967466554,0.17501153888214016,5.497787143782138,2,7
config_L8_T1p300_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,1.3,1,1,0,0,0,1,24,6,-1,-1.8935962381092073,0.069123567883227169,0.1874057719746933,0.78539816339744828,2,1
config_L8_T1p300_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,1.3,1,1,0,0,0,1,28,7,-1,-1.8125613268833811,0.048430397917153471,0.16248423359467046,0.78539816339744828,2,1
