observable,L,T_peak,peak_value,n_seeds
heat capacity,8,1.2,1.6411096396002882,5
heat capacity,16,1.15,1.6508718724014861,5
heat capacity,32,1.1,2.319578421374119,5
chi_abs,8,1.35,0.468202249821329,5
chi_abs,16,1.0,0.4997292252711006,5
chi_abs,32,1.1,0.5124653119807185,5
chi_vec,8,1.2,3.1223612623711743,5
chi_vec,16,1.2,3.2075030974465983,5
chi_vec,32,1.1,3.1739806687178413,5
helical_susc_like,8,1.0,1.0952574974905356,5
helical_susc_like,16,0.8,7.851952785202128,5
helical_susc_like,32,0.8,79.06058845438125,5
