L,T,J,D,Bx,By,Bz,E_density_mean,E_density_stderr,M_abs_mean,M_abs_stderr,chi_abs,chi_vec,Cv_per_spin,helical_order_mean,helical_order_stderr,helical_susc_like,acceptance_rate,q_peak_final,axis_peak_final,n_peak_final,ml_configs_saved
8,0.8,1,1,0,0,0,-2.538994215592751,0.00072916249333838,0.055117247509700415,0.00044494036906521996,0.38078103818694436,2.3026641576848608,1.2763701810245185,0.25834801019901843,0.0005970060206024599,0.6899344576752741,0.733970546875,4.5553093477052,2.0,5.8,0.0
8,0.9,1,1,0,0,0,-2.4099980960345646,0.00085658720928824,0.05896599258683464,0.00046902665610484,0.3755290306871463,2.3190360915306956,1.392025462383823,0.22731143127642067,0.00058929156418824,0.5943749045359692,0.7535906770833334,4.5553093477052,2.0,5.8,0.0
8,1.0,1,1,0,0,0,-2.265517774472588,0.00100660316460288,0.06419731348046132,0.00050789346422276,0.39693128012924145,2.4740009750885243,1.5582658171170016,0.18137234136284264,0.00081566419412284,1.0952574974905356,0.771855234375,2.670353755551324,1.8,3.4,0.0
8,1.1,1,1,0,0,0,-2.092032032398841,0.0011100968713786401,0.07386445980462468,0.00057329542344802,0.4594396148055603,2.963656108867709,1.565574344677927,0.09576538912029864,0.0007592901283906,0.853983491799292,0.7899502083333333,3.612831551628262,1.0,4.6,0.0
8,1.15,1,1,0,0,0,-2.005216608386462,0.00117828082933,0.07608622598713338,0.0005720635386325999,0.4393445435037881,2.959471147402852,1.616654755442158,0.07480316363412301,0.0007701998745579,0.8151482658951081,0.7984195572916666,2.670353755551324,1.2,3.4,0.0
8,1.2,1,1,0,0,0,-1.92481725455688,0.0012399070872133,0.07952984042393305,0.00059071817832162,0.4477549694549059,3.1223612623711743,1.6411096396002882,0.0544220294934893,0.00054835788325624,0.3957612908941297,0.8064604947916667,1.727875959474386,1.4,2.2,0.0
8,1.25,1,1,0,0,0,-1.8534401553475697,0.00127532934731014,0.07955071529779086,0.00061232127428388,0.46133156211726983,2.992884176169718,1.6005011118702996,0.05022594486452934,0.00047988780346332004,0.29307969245055204,0.813501875,4.5553093477052,1.2,5.8,0.0
8,1.3,1,1,0,0,0,-1.7700197098461807,0.0012942651656558,0.0807783128000781,0.00060776660917934,0.43766452675173584,2.96786403292368,1.5267448112512136,0.04273512450668606,0.00047341047953098,0.27237244611935885,0.8210200260416667,3.612831551628262,0.8,4.6,0.0
8,1.35,1,1,0,0,0,-1.6941907614324012,0.0013275147067046,0.08194722186939116,0.00064134755764996,0.468202249821329,2.941024191430137,1.4865422362726792,0.0343372467967498,0.0003535458192872,0.14384646557278002,0.828030625,2.670353755551324,1.4,3.4,0.0
8,1.4,1,1,0,0,0,-1.620886135622974,0.00138015220815386,0.08290125112784642,0.0006522846211255799,0.4679549930932697,2.9332194276819306,1.4986102394632543,0.0286233736045091,0.00027300821036154,0.08417736832667025,0.8346302604166667,3.612831551628262,1.0,4.6,0.0
8,1.45,1,1,0,0,0,-1.5441344236728693,0.00136364316775152,0.08359189837079756,0.00063890311815088,0.43294095365108376,2.8646797245815763,1.3588269090745109,0.02402434341704896,0.00022737579053422,0.054872641843340175,0.84117078125,3.612831551628262,1.4,4.6,0.0
8,1.5,1,1,0,0,0,-1.480261088188437,0.00140667447460996,0.08097475768981978,0.00063411587077794,0.41259332223934225,2.6245275660624503,1.3514756552752212,0.02208425377368408,0.000198876176464,0.0406020920759204,0.8470566406250001,3.612831551628262,0.8,4.6,0.0
8,1.55,1,1,0,0,0,-1.4101450281307097,0.00140649710873112,0.0800430425781134,0.00063122853250462,0.3960540010664966,2.4856228803569858,1.2660433410545784,0.01957241005446562,0.00016668030605308,0.02800643341042066,0.8530359635416666,2.827433388230814,0.6,3.6,0.0
8,1.6,1,1,0,0,0,-1.3496367241120202,0.0014091936131567998,0.08194431563332241,0.00062130320647252,0.3712853252684098,2.5031815475376717,1.1931629331200888,0.020564794151384617,0.0001932670044301,0.036720096213132034,0.8584730208333333,3.612831551628262,0.6,4.6,0.0
8,1.65,1,1,0,0,0,-1.289313852182319,0.0014546885098621599,0.07922630938999917,0.00060377970773684,0.3394876802129302,2.255892896304573,1.1950471394688917,0.01725526979415442,0.00016114398293816,0.0243996387778121,0.8637612239583333,3.612831551628262,0.6,4.6,0.0
8,1.7,1,1,0,0,0,-1.2332239882015403,0.0014221564564409,0.07779486600320193,0.00058667193964008,0.3113393801847071,2.107277242744102,1.0759557887132378,0.015903214823210478,0.00014104099691713998,0.01809418762792402,0.8687383593749999,1.727875959474386,0.6,2.2,0.0
8,1.8,1,1,0,0,0,-1.1335578529247026,0.00138786795505432,0.07928326275450062,0.00060466977151332,0.3123186398117015,2.0469778490830683,0.9147924210174269,0.013991879886904379,0.00010861067883472849,0.01025782196670276,0.8775293489583333,5.340707511102648,1.8,6.8,0.0
8,1.9,1,1,0,0,0,-1.0462501901550423,0.00136743684616572,0.07614462491445834,0.00058495412360684,0.27684083735241904,1.8194203084988352,0.7963216667940316,0.01205233234192026,8.964015697824559e-05,0.00655639903335888,0.8853219791666666,4.39822971502571,0.8,5.6,0.0
8,2.0,1,1,0,0,0,-0.9780796749212316,0.00136456053779542,0.07472519753537891,0.00056651811024466,0.2474974123493748,1.6458397081998304,0.7156412585008205,0.01103174895200352,8.237318381227805e-05,0.00522210167770724,0.8920474479166668,4.084070449666731,0.6,5.2,0.0
16,0.8,1,1,0,0,0,-2.5476809904879323,0.00025963198176164,0.01940245056066724,0.00015096956405946,0.35062278625393106,2.2638801081796673,1.2957553513248974,0.12093523289088907,0.00068666683166246,7.851952785202128,0.7336236946614582,4.5553093477052,2.0,11.6,0.0
16,0.9,1,1,0,0,0,-2.4171454756246127,0.0003029772069896,0.02039966888711602,0.000167196687002,0.38202404035426346,2.259040080362884,1.3926440278584953,0.11603850997394125,0.00067752189897896,6.29971856412563,0.7532356770833333,1.727875959474386,2.0,4.4,0.0
16,1.0,1,1,0,0,0,-2.2620342944340712,0.00036039882042161996,0.02588382166105488,0.0002014869820294,0.4997292252711006,3.07012966533119,1.6046236161905256,0.05593630856561116,0.00070936096677222,6.954067857258605,0.772063564453125,3.612831551628262,1.6,9.2,0.0
16,1.1,1,1,0,0,0,-2.1023227987779576,0.00039188650761448,0.02668872207843992,0.00020344320289098,0.46374800659034215,3.026837824440522,1.560463570696659,0.01483432750978062,0.00034341755633696,1.4149308993840586,0.789440087890625,4.5553093477052,1.0,11.6,0.0
16,1.15,1,1,0,0,0,-2.0216814816696447,0.00042149272736218,0.027839378529507457,0.00021226000553274,0.4824382411039525,3.1354796218294227,1.6508718724014861,0.00888626036400958,0.0001507859300116967,0.2683143140726491,0.7976207942708333,3.455751918948772,1.0,8.8,0.0
16,1.2,1,1,0,0,0,-1.9413899865491142,0.00043344407475058,0.02841212983144148,0.00021857183330698,0.48958679982741043,3.2075030974465983,1.6041128733120646,0.006577932309160541,0.00010195058109939755,0.10974964617622314,0.8054939583333333,1.6493361431346414,1.0,4.2,0.0
16,1.25,1,1,0,0,0,-1.8620828268572573,0.00044758715377864,0.028736859061809922,0.00021670787973101998,0.4629669442218208,3.127615700922071,1.5770872472992958,0.00471075122767984,4.614650557008291e-05,0.02187137262029764,0.8129734212239583,2.591813939211579,1.2,6.6,0.0
16,1.3,1,1,0,0,0,-1.7824860441417774,0.00047468873630694,0.028823107723236742,0.00022068340192592,0.46149740883336976,3.027561939190068,1.6400080030720983,0.0048590446691190396,4.41908951685841e-05,0.01953785259575648,0.8203519010416667,2.670353755551324,0.8,6.8,0.0
16,1.35,1,1,0,0,0,-1.700739662093816,0.00046071758816238,0.027545076573501536,0.00021787396272058,0.43297346696747957,2.662368815731335,1.433251131440269,0.004331679324628281,3.6417569929168326e-05,0.01242732888331574,0.8275459700520834,3.612831551628262,0.6,9.2,0.0
16,1.4,1,1,0,0,0,-1.6247962608498052,0.0004980772565367001,0.0284824754314682,0.00022244903018252003,0.43466649739132757,2.7730481375779257,1.5570800878236093,0.0039264099763136,3.460536100575352e-05,0.01063627119138528,0.8343378971354166,1.4922565104551517,0.6,3.8,0.0
16,1.45,1,1,0,0,0,-1.5484700866898728,0.00050295086178536,0.027630888405763682,0.00021005805096966,0.37547970470258407,2.490798522467671,1.4792931310303825,0.0038157741620963,3.220789347977575e-05,0.00884645621522856,0.8409744921875,4.5553093477052,1.0,11.6,0.0
16,1.5,1,1,0,0,0,-1.4780963045689641,0.00049900657127952,0.028753217593966502,0.00022524952685695998,0.4163074092541808,2.623514690556928,1.3614318425821306,0.0032784394554980405,2.772804609549978e-05,0.006412049526625679,0.8471540299479166,2.670353755551324,1.6,6.8,0.0
16,1.55,1,1,0,0,0,-1.4075771579601588,0.00050505105840598,0.028148042524105223,0.00021962080080562002,0.382813912429527,2.4531234901716243,1.3058839712216577,0.0030331832501415803,2.1777646860680737e-05,0.0037840020513904803,0.8531174055989583,2.670353755551324,1.2,6.8,0.0
16,1.6,1,1,0,0,0,-1.3443734751747671,0.00051733949486828,0.02840021876687346,0.00021867471284302,0.3675843438709994,2.4071038059363907,1.2852972413126285,0.00280870743608756,2.0319747176690693e-05,0.0032172271261232802,0.8587279134114583,4.71238898038469,1.2,12.0,0.0
16,1.65,1,1,0,0,0,-1.2849869789342179,0.00050415224038004,0.027585812840957402,0.0002132288771148,0.3388929147326429,2.212665326183259,1.148456157940789,0.00264622499434618,1.995174813925765e-05,0.00298416261340274,0.8639329394531249,2.748893571891069,1.2,7.0,0.0
16,1.7,1,1,0,0,0,-1.2291907763712744,0.0005079164090596199,0.02770398863233644,0.00021747005131104,0.34201809168717057,2.1621335305803435,1.0971984858051687,0.0023732105729363,1.591681881257664e-05,0.0018378174389234998,0.8688486979166665,3.7699111843077517,1.4,9.6,0.0
16,1.8,1,1,0,0,0,-1.131410739361812,0.00048861871534564,0.027582964443764263,0.00020847532121855998,0.297240829201567,2.006441496141646,0.9058196597353844,0.0020969121790497002,1.3430499718289845e-05,0.00123392936031708,0.8776669075520832,4.476769531365455,0.6,11.4,0.0
16,1.9,1,1,0,0,0,-1.045930102763209,0.00047514605552134004,0.02653018956761332,0.00020955766227632,0.2844612010926265,1.7923116644463082,0.770040743691402,0.00184280629551396,1.113267601616927e-05,0.00080520934017916,0.8854581868489584,4.241150082346221,0.6,10.8,0.0
16,2.0,1,1,0,0,0,-0.9735597610790014,0.00046273230786578,0.02695746880704744,0.00020405286559692002,0.2567893698317797,1.7167060550845676,0.658892429960378,0.00171844597673282,1.0338736192614301e-05,0.00066089276654738,0.8922642317708334,3.6913713679680065,1.0,9.4,0.0
32,0.8,1,1,0,0,0,-2.5466833653052743,0.00010054481354927147,0.00685174542408504,5.3357144756477046e-05,0.3507145993138439,2.2484324943866176,1.5540690224954186,0.1206530552467268,0.00080123528406766,79.06058845438125,0.7336539090983072,4.5553093477052,2.0,23.2,0.0
32,0.9,1,1,0,0,0,-2.4152030220696785,0.0001090486642112,0.00728371975420688,5.6116930619236575e-05,0.34462720296764665,2.231336672327969,1.4440429786070967,0.09604742881683348,0.0007701269631449,65.383384181357,0.7533482462565104,2.670353755551324,2.0,13.6,0.0
32,1.0,1,1,0,0,0,-2.2646808255133366,0.0001504900095346,0.00893075155970794,6.618115601180751e-05,0.4313622028430558,2.9490455885579707,2.260293841950393,0.03480989014250174,0.00074650294076574,55.013306468805276,0.7719476310221354,3.612831551628262,2.0,18.4,0.0
32,1.1,1,1,0,0,0,-2.1105162307921974,0.00016744032586172,0.00959346897834376,7.549399869392303e-05,0.5124653119807185,3.1739806687178413,2.319578421374119,0.008462598044093139,0.00031122887240538,8.720083768628044,0.788976651204427,0.7461282552275759,1.6,3.8,0.0
32,1.15,1,1,0,0,0,-2.0274879929716048,0.00015472861140464,0.00971600109900726,7.601588892121521e-05,0.4943169696432233,3.108056552732196,1.7841161951316729,0.00341880225479552,0.00014455442094118,1.8313834774344524,0.7972598881022135,1.6493361431346414,1.2,8.4,0.0
32,1.2,1,1,0,0,0,-1.945243631457655,0.00015728686464348,0.00975484110361882,7.495021467655253e-05,0.4607147294498236,3.0080002390115075,1.6892459018045471,0.00188925115883056,7.122072919132531e-05,0.4296944750394906,0.8052367667643228,2.670353755551324,0.8,13.6,0.0
32,1.25,1,1,0,0,0,-1.8643398163129874,0.00015768366287273998,0.01011733025997536,7.621307511369434e-05,0.4581595265952991,3.0409438387554104,1.5645006658626242,0.0012418160883347399,3.6298776654280524e-05,0.11168504284868805,0.8128748718261718,2.5918139392115793,0.4,13.2,0.0
32,1.3,1,1,0,0,0,-1.7836880291486246,0.0001654038283953,0.01024629562862806,7.644513454948561e-05,0.4424609201512764,3.0208666864733416,1.5928560070799809,0.00080404581734362,1.1403703906612512e-05,0.01107994497360718,0.8202659122721354,1.6493361431346414,1.6,8.4,0.0
32,1.35,1,1,0,0,0,-1.7027362830377477,0.0001752689602313,0.010242770252090841,7.800961891229245e-05,0.44328812287566305,2.918280614795793,1.6572734180815452,0.0006649282480230199,6.406603401755845e-06,0.0030645481326982997,0.8274690498860677,4.71238898038469,1.2,24.0,0.0
32,1.4,1,1,0,0,0,-1.6248398352359075,0.00017664638410947998,0.0101443915510204,7.623393204357424e-05,0.40925990880264945,2.771048263818854,1.5692958819070009,0.00057638711205696,3.592874649074353e-06,0.00090751851682894,0.8343281302897136,2.5525440310417067,1.2,13.0,0.0
32,1.45,1,1,0,0,0,-1.5492612631015805,0.00018178409657891998,0.010119061654049081,7.609597275493774e-05,0.3930512842653914,2.664333628304216,1.54680518005744,0.00053893266069432,3.649375054321676e-06,0.00090938186263514,0.8409158374023438,4.5553093477052,0.8,23.2,0.0
32,1.5,1,1,0,0,0,-1.4763929205226958,0.00017543432665072,0.010304814398330139,7.637969112663254e-05,0.38267873849706974,2.6480682299072265,1.34735966434616,0.0005179185247822,3.538767791911977e-06,0.0008493177483972599,0.847212724609375,2.827433388230814,1.2,14.4,0.0
32,1.55,1,1,0,0,0,-1.4082883848288643,0.00017658481678326,0.01025046697213928,7.953019214591305e-05,0.402488221894785,2.5896719424649097,1.2766768362393033,0.00046946426633016,3.095054330079612e-06,0.00062040993824026,0.8531173620605468,4.673119072214817,1.6,23.8,0.0
32,1.6,1,1,0,0,0,-1.3434618434600882,0.00017789254624650002,0.00966987833758174,7.429240704843242e-05,0.3398987889125357,2.233742858748684,1.2155175591308085,0.00042396779678334,2.5483923970813332e-06,0.00040268773589646,0.8587498913574219,2.748893571891069,1.2,14.0,0.0
32,1.65,1,1,0,0,0,-1.2839138531789713,0.00017566522174496,0.01009465637288208,7.636224908283118e-05,0.34765478895769847,2.338103979264356,1.1170380813640197,0.00039322240201102,2.3939158395510386e-06,0.00034517294542692,0.863965841471354,3.6521014597981347,1.0,18.6,0.0
32,1.7,1,1,0,0,0,-1.2285232493083769,0.00017590982702217999,0.00982603660009472,7.480546490771684e-05,0.3243920585085106,2.1491164677574783,1.052849032269291,0.00036575397110733996,2.1714728246900786e-06,0.00027449071324158,0.8688755891927084,1.6100662349647692,0.6,8.2,0.0
32,1.8,1,1,0,0,0,-1.1299404883708561,0.00016791571209788,0.00998625576915706,7.67605993051499e-05,0.3225357283793714,2.0983773300473088,0.8557727732192294,0.00032239658522532,1.8364819773972024e-06,0.00018535521431804,0.8777098478190105,2.6310838473814515,0.6,13.4,0.0
